CAPEC ID,Description,Cosine Similarity,Severity,Prerequisites
121,Exploit Non-Production Interfaces,0.0,High,::The target must have configured non-production interfaces and failed to secure or remove them when brought into a production environment.::
655,Avoid Security Tool Identification by Adding Data,0.0,High,
132,Symlink Attack,0.0,High,::The targeted application must perform the desired activities on a file without checking whether the file is a symbolic link or not. The attacker must be able to predict the name of the file the target application is modifying and be able to create a new symbolic link where that file would appear.::
583,Disabling Network Hardware,0.0,,"::The adversary requires physical access to the targeted communications equipment (networking devices, cables, etc.), which may be spread over a wide area.::"
104,Cross Zone Scripting,0.003,High,::The target must be using a zone-aware browser.::
327,TCP Options Probe,0.013,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
127,Directory Indexing,0.0,Medium,::The target must be misconfigured to return a list of a directory's content when it receives a request that ends in a directory name rather than a file name.::The adversary must be able to control the path that is requested of the target.::The administrator must have failed to properly configure an ACL or has associated an overly permissive ACL with a particular directory.::The server version or patch level must not inherently prevent known directory listing attacks from working.::
253,Remote Code Inclusion,0.0,,::Target application server must allow remote files to be included.The malicious file must be placed on the remote machine previously.::
318,IP 'ID' Echoed Byte-Order Probe,0.0,Low,
125,Flooding,0.0,Medium,::Any target that services requests is vulnerable to this attack on some level of scale.::
163,Spear Phishing,0.0,High,::None. Any user can be targeted by a Spear Phishing attack.::
133,Try All Common Switches,0.0,Medium,::The attacker must be able to control the options or switches sent to the target.::
520,Counterfeit Hardware Component Inserted During Product Assembly,0.0,High,::The attacker will need either physical access or be able to supply malicious hardware components to the product development facility.::
1,Accessing Functionality Not Properly Constrained by ACLs,0.0,High,"::The application must be navigable in a manner that associates elements (subsections) of the application with ACLs.::The various resources, or individual URLs, must be somehow discoverable by the attacker::The administrator must have forgotten to associate an ACL or has associated an inappropriately permissive ACL with a particular navigable resource.::"
151,Identity Spoofing,0.0,Medium,::The identity associated with the message or resource must be removable or modifiable in an undetectable way.::
598,DNS Spoofing,0.0,,::On/In Path Device::
581,Security Software Footprinting,0.0,,
563,Add Malicious File to Shared Webroot,0.0,,
626,Smudge Attack,0.0,,::The attacker must have physical access to the device.::
144,Detect Unpublicized Web Services,0.023,Low,::The targeted web site must include unpublished services within its web tree. The nature of these services determines the severity of this attack.::
263,Force Use of Corrupted Files,0.0,Medium,"::The targeted application must utilize a configuration file that an attacker is able to corrupt. In some cases, the attacker must be able to force the (re-)reading of the corrupted file if the file is normally only consulted at startup.::The severity of the attack hinges on how the application responds to the corrupted file. If the application detects the corruption and locks down, this may result in the denial of services provided by the application. If the application fails to detect the corruption, the result could be a more severe denial of service (crash or hang) or even an exploitable buffer overflow. If the application detects the corruption but fails in an unsafe way, this attack could result in the continuation of services but without certain security structures, such as filters or access controls. For example, if the corrupted file configures filters, an unsafe response from an application could result in simply disabling the filtering mechanisms due to the lack of usable configuration data.::"
217,Exploiting Incorrectly Configured SSL,0.0,,::Access to the client/server stream.::
143,Detect Unpublicized Web Pages,0.031,Low,::The targeted web site must include pages within its published tree that are not connected to its tree of links. The sensitivity of the content of these pages determines the severity of this attack.::
616,Establish Rogue Location,0.0,Medium,::A resource is expected to available to the user.::
532,Altered Installed BIOS,0.0,High,::Advanced knowledge about the installed target system design.::Advanced knowledge about the download and update installation processes.::Access to the download and update system(s) used to deliver BIOS images.::
256,SOAP Array Overflow,0.0,High,"::The targeted SOAP server must trust that the array size as stated in messages it receives is correct, but read through the entire content of the message regardless of the stated size of the array.::"
147,XML Ping of the Death,0.025,Medium,::The target must receive and process XML transactions.::
90,Reflection Attack in Authentication Protocol,0.0,High,"::The attacker must have direct access to the target server in order to successfully mount a reflection attack. An intermediate entity, such as a router or proxy, that handles these exchanges on behalf of the attacker inhibits the attackers' ability to attack the authentication protocol.::"
292,Host Discovery,0.0,Low,::The adversary requires logical access to the target network in order to carry out host discovery.::
194,Fake the Source of Data,0.042,Medium,"::This attack is only applicable when a vulnerable entity associates data or services with an identity. Without such an association, there would be no reason to fake the source.::"
331,ICMP IP Total Length Field Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
128,Integer Attacks,0.0,Medium,::The target application must have an integer variable for which only some of the possible integer values are expected by the application and where there are no checks on the value of the variable before use.::The attacker must be able to manipulate the targeted integer variable such that normal operations result in non-standard values due to the storage structure of integers.::
588,DOM-Based XSS,0.0,Very High,::An application that leverages a client-side web browser with scripting enabled.::An application that manipulates the DOM via client-side scripting.::An application that failS to adequately sanitize or encode untrusted input.::
291,DNS Zone Transfers,0.0,Low,::Access to a DNS server that allows Zone transfers.::
22,Exploiting Trust in Client,0.0,High,"::Server software must rely on client side formatted and validated values, and not reinforce these checks on the server side.::"
122,Privilege Abuse,0.019,Medium,"::The target must have misconfigured their access control mechanisms such that sensitive information, which should only be accessible to more trusted users, remains accessible to less trusted users.::The adversary must have access to the target, albeit with an account that is less privileged than would be appropriate for the targeted resources.::"
120,Double Encoding,0.0,Medium,::The target's filters must fail to detect that a character has been doubly encoded but its interpreting engine must still be able to convert a doubly encoded character to an un-encoded character.::The application accepts and decodes URL string request.::The application performs insufficient filtering/canonicalization on the URLs.::
162,Manipulating Hidden Fields,0.0,High,::The targeted site must contain hidden fields to be modified.::The targeted site must not validate the hidden fields with backend processing.::
96,Block Access to Libraries,0.0,Medium,::An application requires access to external libraries.::An attacker has the privileges to block application access to external libraries.::
161,Infrastructure Manipulation,0.0,High,"::The targeted client must access the site via infrastructure that the attacker has co-opted and must fail to adequately verify that the communication channel is operating correctly (e.g. by verifying that they are, in fact, connected to the site they intended.)::"
173,Action Spoofing,0.0,Very High,::The adversary must convince the victim into performing the decoy action.::The adversary must have the means to control a user's interface to present them with a decoy action as well as the actual malicious action. Simple versions of this attack can be performed using web pages requiring only that the adversary be able to host (or control) content that the user visits.::
71,Using Unicode Encoding to Bypass Validation Logic,0.024,High,::Filtering is performed on data that has not be properly canonicalized.::
28,Fuzzing,0.0,Medium,
153,Input Data Manipulation,0.0,Medium,::The target must accept user data for processing and the manner in which this data is processed must depend on some aspect of the format or flags that the attacker can control.::
599,Terrestrial Jamming,0.0,High,
57,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data,0.0,Very High,::Opportunity to intercept must exist beyond the point where SSL is terminated.::The attacker must be able to insert a listener actively (proxying the communication) or passively (sniffing the communication) in the client-server communication path.::
116,Excavation,0.0,Medium,::An adversary requires some way of interacting with the system.::
301,TCP Connect Scan,0.0,Low,::The adversary requires logical access to the target network. The TCP connect Scan requires the ability to connect to an available port and complete a 'three-way-handshake' This scanning technique does not require any special privileges in order to perform. This type of scan works against all TCP/IP stack implementations.::
615,Evil Twin Wi-Fi Attack,0.0,Low,::None::
618,Cellular Broadcast Message Request,0.0,Low,::The attacker must have knowledge of the target’s mobile phone number.::
149,Explore for Predictable Temporary File Names,0.0,Medium,"::The targeted application must create names for temporary files using a predictable procedure, e.g. using sequentially increasing numbers.::The attacker must be able to see the names of the files the target is creating.::"
245,XSS Using Doubled Characters,0.0,Medium,"::The targeted web application does not fully normalize input before checking for prohibited syntax. In particular, it must fail to recognize prohibited methods preceded by certain sequences of repeated characters.::"
6,Argument Injection,0.0,High,"::Target software fails to strip all user-supplied input of any content that could cause the shell to perform unexpected actions.::Software must allow for unvalidated or unfiltered input to be executed on operating system shell, and, optionally, the system configuration must allow for output to be sent back to client.::"
244,XSS Targeting URI Placeholders,0.0,High,::Target client software must allow scripting such as JavaScript and allows executable content delivered using a data URI scheme.::
129,Pointer Manipulation,0.054,Medium,::The target application must have a pointer variable that the attacker can influence to hold an arbitrary value.::
138,Reflection Injection,0.0,Very High,"::The target application must utilize reflection libraries and allow users to directly control the parameters to these methods. If the adversary can host classes where the target can invoke them, more powerful variants of this attack are possible.::The target application must accept a string as user input, fail to sanitize characters that have a special meaning in the parameter encoding, and insert the user-supplied string in an encoding which is then processed.::"
579,Replace Winlogon Helper DLL,0.0,,
300,Port Scanning,0.0,Low,::The adversary requires logical access to the target's network in order to carry out this type of attack.::
240,Resource Injection,0.0,High,"::The target application allows the user to both specify the identifier used to access a system resource. Through this permission, the user gains the capability to perform actions on that resource (e.g., overwrite the file)::"
70,Try Common or Default Usernames and Passwords,0.023,High,::The system uses one factor password based authentication.The adversary has the means to interact with the system.::
242,Code Injection,0.0,High,"::The target software does not validate user-controlled input such that the execution of a process may be altered by sending code in through legitimate data channels, using no other mechanism.::"
243,XSS Targeting HTML Attributes,0.0,Medium,::The target application must fail to adequately sanitize HTML attributes against the presence of dangerous commands.::
29,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,0.0,High,::A resource is access/modified concurrently by multiple processes.::The adversary is able to modify resource.::A race condition exists while accessing a resource.::
80,Using UTF-8 Encoding to Bypass Validation Logic,0.0,High,::The application's UTF-8 decoder accepts and interprets illegal UTF-8 characters or non-shortest format of UTF-8 encoding.::Input filtering and validating is not done properly leaving the door open to harmful characters for the target host.::
76,Manipulating Web Input to File System Calls,0.027,Very High,::Program must allow for user controlled variables to be applied directly to the filesystem::
30,Hijacking a Privileged Thread of Execution,0.0,Very High,"::The application in question employs a threaded model of execution with the threads operating at, or having the ability to switch to, a higher privilege level than normal users::In order to feasibly execute this class of attacks, the adversary must have the ability to hijack a privileged thread.This ability includes, but is not limited to, modifying environment variables that affect the process the thread belongs to, or providing malformed user-controllable input that causes the executing thread to fault and return to a higher privilege level or such.This does not preclude network-based attacks, but makes them conceptually more difficult to identify and execute.::"
176,Configuration/Environment Manipulation,0.0,Medium,::The target application must consult external files or configuration controls to control its execution. All but the very simplest applications meet this requirement.::
66,SQL Injection,0.0,High,"::SQL queries used by the application to store, retrieve or modify data.::User-controllable input that is not properly validated by the application as part of SQL queries.::"
166,Force the System to Reset Values,0.0,Medium,::The targeted application must have a reset function that returns the configuration of the application to an earlier state.::The reset functionality must be inadequately protected against use.::
584,BGP Route Disabling,0.0,,"::The adversary must have control of a router that can modify, drop, or introduce spoofed BGP updates.The adversary can convince::"
113,API Manipulation,0.024,Medium,::The target system must expose API functionality in a manner that can be discovered and manipulated by an adversary. This may require reverse engineering the API syntax or decrypting/de-obfuscating client-server exchanges.::
297,TCP ACK Ping,0.0,Low,"::The ability to send an ACK packet to a remote host and identify the response. Creating the ACK packet without building a full connection requires the use of raw sockets. As a result, it is not possible to send a TCP ACK ping from some systems (Windows XP SP 2) without the use of third-party packet drivers like Winpcap. On other systems (BSD, Linux) administrative privileges are required in order to write to the raw socket.::The target must employ a stateless firewall that lacks a rule set that rejects unsolicited ACK packets.::The adversary requires the ability to craft custom TCP ACK segments for use during network reconnaissance. Sending an ACK ping requires the ability to access raw sockets in order to create the packets with direct access to the packet header.::"
93,Log Injection-Tampering-Forging,0.0,High,::The target host is logging the action and data of the user.::The target host insufficiently protects access to the logs or logging mechanisms.::
186,Malicious Software Update,0.0,High,
309,Network Topology Mapping,0.0,Low,::None::
308,UDP Scan,0.0,Low,"::The ability to send UDP datagrams to a host and receive ICMP error messages from that host. In cases where particular types of ICMP messaging is disallowed, the reliability of UDP scanning drops off sharply.::"
310,Scanning for Vulnerable Software,0.0,Low,::Access to the network on which the targeted system resides.::Software tools used to probe systems over a range of ports and protocols.::
248,Command Injection,0.0,High,"::The target application must accept input from the user and then use this input in the construction of commands to be executed. In virtually all cases, this is some form of string input that is concatenated to a constant string defined by the application to form the full command to be executed.::"
175,Code Inclusion,0.0,Very High,"::The target application must include external code/libraries that are executed when the application runs and the adversary must be able to influence the specific files that get included.::The victim must run the targeted application, possibly using the crafted parameters that the adversary uses to identify the code to include.::"
103,Clickjacking,0.0,High,"::The victim is communicating with the target application via a web based UI and not a thick client::The victim's browser security policies allow at least one of the following JavaScript, Flash, iFrames, ActiveX, or CSS.::The victim uses a modern browser that supports UI elements like clickable buttons (i.e. not using an old text only browser)::The victim has an active session with the target system.::The target system's interaction window is open in the victim's browser and supports the ability for initiating sensitive actions on behalf of the user in the target system::"
182,Flash Injection,0.0,Medium,"::The target must be capable of running Flash applications. In some cases, the victim must follow an attacker-supplied link.::"
294,ICMP Address Mask Request,0.0,Low,"::The ability to send an ICMP type 17 query (Address Mask Request) to a remote target and receive an ICMP type 18 message (ICMP Address Mask Reply) in response. Generally, modern operating systems will ignore ICMP type 17 messages, however, routers will commonly respond to this request.::"
295,Timestamp Request,0.0,Low,::The ability to send a timestamp request to a remote target and receive a response.::
10,Buffer Overflow via Environment Variables,0.0,High,::The application uses environment variables.::An environment variable exposed to the user is vulnerable to a buffer overflow.::The vulnerable environment variable uses untrusted data.::Tainted data used in the environment variables is not properly validated. For instance boundary checking is not done before copying the input data to a buffer.::
31,Accessing/Intercepting/Modifying HTTP Cookies,0.0,High,"::Target server software must be a HTTP daemon that relies on cookies.::The cookies must contain sensitive information.::The adversary must be able to make HTTP requests to the server, and the cookie must be contained in the reply.::"
74,Manipulating State,0.033,High,"::User state is maintained at least in some way in user-controllable locations, such as cookies or URL parameters.::There is a faulty finite state machine in the hardware logic that can be exploited.::"
293,Traceroute Route Enumeration,0.012,Low,::A network capable of routing the attackers' packets to the destination network.::
75,Manipulating Writeable Configuration Files,0.032,Very High,::Configuration files must be modifiable by the attacker::
296,ICMP Information Request,0.0,Low,::The ability to send an ICMP Type 15 Information Request and receive an ICMP Type 16 Information Reply in response.::
12,Choosing Message Identifier,0.026,High,"::Information and client-sensitive (and client-specific) data must be present through a distribution channel available to all users.::Distribution means must code (through channel, message identifiers, or convention) message destination in a manner visible within the distribution means itself (such as a control channel) or in the messages themselves.::"
233,Privilege Escalation,0.0,,
84,XQuery Injection,0.0,Very High,::The XQL must execute unvalidated data::
18,XSS Targeting Non-Script Elements,0.0,Very High,::The target client software must allow the execution of scripts generated by remote hosts.::
652,Use of Known Kerberos Credentials,0.0,High,"::The system/application is connected to the Windows domain and leverages Kerberos authentication.::The system/application uses one factor password-based authentication, SSO, and/or cloud-based authentication for Kerberos service accounts.::The system/application does not have a sound password policy that is being enforced for Kerberos service accounts.::The system/application does not implement an effective password throttling mechanism for authenticating to Kerberos service accounts.::The targeted network allows for network sniffing attacks to succeed.::"
304,TCP Null Scan,0.0,Low,"::The adversary requires logical access to the target network. NULL scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privileges.::"
19,Embedding Scripts within Scripts,0.045,High,"::Target software must be able to execute scripts, and also grant the adversary privilege to write/upload scripts.::"
317,IP ID Sequencing Probe,0.0,Low,
81,Web Logs Tampering,0.0,High,::Target server software must be a HTTP server that performs web logging.::
97,Cryptanalysis,0.0,Very High,::The target software utilizes some sort of cryptographic algorithm.::An underlying weaknesses exists either in the cryptographic algorithm used or in the way that it was applied to a particular chunk of plaintext.::The encryption algorithm is known to the attacker.::An attacker has access to the ciphertext.::
69,Target Programs with Elevated Privileges,0.026,Very High,"::The targeted program runs with elevated OS privileges.::The targeted program accepts input data from the user or from another program.::The targeted program does not perform input validation properly.::The targeted program does not fail safely. For instance when a program fails it may authorize restricted access to anyone.::The targeted program has a vulnerability such as buffer overflow which may be exploited if a malicious user can inject unvalidated data. For instance a buffer overflow interrupts the program as it executes, and makes it run additional code supplied by the attacker. If the program under attack has elevated privileges to the OS, the attacker can elevate its privileges (such as having root level access).::The targeted program is giving away information about itself. Before performing such attack, an eventual attacker may need to gather information about the services running on the host target. The more the host target is verbose about the services that are running (version number of application, etc.) the more information can be gather by an attacker.::This attack often requires communicating with the host target services directly. For instance Telnet may be enough to communicate with the host target.::"
191,Read Sensitive Constants Within an Executable,0.113,Low,::Access to a binary or executable such that it can be analyzed by various utilities.::
227,Sustained Client Engagement,0.055,,::This pattern of attack requires a temporal aspect to the servicing of a given request. Success can be achieved if the adversary can make requests that collectively take more time to complete than legitimate user requests within the same time frame.::
458,Flash Memory Attacks,0.037,,
7,Blind SQL Injection,0.026,High,"::SQL queries used by the application to store, retrieve or modify data.::User-controllable input that is not properly validated by the application as part of SQL queries.::"
189,Black Box Reverse Engineering,0.036,Low,
87,Forceful Browsing,0.0,High,::The forcibly browseable pages or accessible resources must be discoverable and improperly protected.::
299,TCP SYN Ping,0.0,Low,"::The ability to send a TCP SYN packet to a remote target. Depending upon the operating system, the ability to craft SYN packets may require elevated privileges.::"
157,Sniffing Attacks,0.0,Medium,::The target data stream must be transmitted on a medium to which the adversary has access.::
73,User-Controlled Filename,0.025,High,::The victim must trust the name and locale of user controlled filenames.::
443,Malicious Logic Inserted Into Product Software by Authorized Developer,0.037,High,::Access to the software during the development phase.::
14,Client-side Injection-induced Buffer Overflow,0.025,High,::The targeted client software communicates with an external server.::The targeted client software has a buffer overflow vulnerability.::
86,XSS Through HTTP Headers,0.0,Very High,::Target software must be a client that allows scripting communication from remote hosts.::
516,Hardware Component Substitution During Baselining,0.027,High,::The attacker will need either physical access or be able to supply malicious hardware components to the product development facility.::
21,Exploitation of Trusted Identifiers,0.0,High,::Server software must rely on weak identifier proof and/or verification schemes.::Identifiers must have long lifetimes and potential for reusability.::Server software must allow concurrent sessions to exist.::
444,Development Alteration,0.035,High,::Access to the system during the development phase to alter and/or modify software and hardware components. This access is often obtained via insider access or by leveraging another attack pattern to gain permissions that the adversary wouldn't normally have.::
448,Embed Virus into DLL,0.033,High,::Access to the software currently deployed at a victim location. This access is often obtained by leveraging another attack pattern to gain permissions that the adversary wouldn't normally have.::
629,Unauthorized Use of Device Resources,0.0,,
457,USB Memory Attacks,0.036,High,::Some level of physical access to the device being attacked.::Information pertaining to the target organization on how to best execute a USB Drop Attack.::
290,Enumerate Mail Exchange (MX) Records,0.0,Low,::The adversary requires access to a DNS server that will return the MX records for a network.::
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,0.0,High,::The application accepts and decodes URL string request.::The application performs insufficient filtering/canonicalization on the URLs.::
167,White Box Reverse Engineering,0.0,Medium,::Direct access to the object or software.::
231,Oversized Serialized Data Payloads,0.0,High,::An application uses an parser for serialized data to perform transformation on user-controllable data.::An application does not perform sufficient validation to ensure that user-controllable data is safe for a data parser.::
303,TCP Xmas Scan,0.0,Low,"::The adversary needs logical access to the target network. XMAS scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privileges.::"
456,Infected Memory,0.034,High,
459,Creating a Rogue Certification Authority Certificate,0.027,Very High,::Certification Authority is using a hash function with insufficient collision resistance to generate the certificate hash to be signed::
3,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,0.0,Medium,::The targeted API must ignore the leading ghost characters that are used to get past the filters for the semantics to be the same.::
445,Malicious Logic Insertion into Product Software via Configuration Management Manipulation,0.033,High,::Access to the configuration management system during deployment or currently deployed at a victim location. This access is often obtained via insider access or by leveraging another attack pattern to gain permissions that the adversary wouldn't normally have.::
72,URL Encoding,0.020,High,::The application should accepts and decodes URL input.::The application performs insufficient filtering/canonicalization on the URLs.::
83,XPath Injection,0.0,High,::XPath queries used to retrieve information stored in XML documents::User-controllable input not properly sanitized before being used as part of XPath queries::
446,Malicious Logic Insertion into Product Software via Inclusion of 3rd Party Component Dependency,0.033,High,::Access to the software during the development phase. This access is often obtained via insider access to include the 3rd party component after deployment.::
447,Design Alteration,0.033,High,::Access to system design documentation prior to the development phase. This access is often obtained via insider access or by leveraging another attack pattern to gain permissions that the adversary wouldn't normally have.::Ability to forge web communications to deliver modified design documentation.::
204,Lifting Sensitive Data Embedded in Cache,0.024,Medium,::The target application must store sensitive information in a cache.::The cache must be inadequately protected against attacker access.::
580,Application Footprinting,0.0,Low,::The adversary must have logical access to the target network and system.::
465,Transparent Proxy Abuse,0.033,Medium,"::Transparent proxy is usedVulnerable configuration of network topology involving the transparent proxy (e.g., no NAT happening between the client and the proxy)Execution of malicious Flash or Applet in the victim's browser::"
462,Cross-Domain Search Timing,0.031,Medium,::Ability to issue GET / POST requests cross domainJava Script is enabled in the victim's browserThe victim has an active session with the site from which the attacker would like to receive informationThe victim's site does not protect search functionality with cross site request forgery (CSRF) protection::
461,Web Services API Signature Forgery Leveraging Hash Function Extension Weakness,0.031,High,::Web services check the signature of the API calls::Authentication tokens / secrets are shared between the server and the legitimate client::The API call signature is generated by concatenating the parameter list with the shared secret and hashing the result.::An iterative hash function like MD5 and SHA1 is used.::An attacker is able to intercept or in some other way gain access to the information passed between the legitimate client and the server in order to retrieve the hash value and length of the original message.::The communication channel between the client and the server is not secured via channel security such as TLS::
92,Forced Integer Overflow,0.0,High,"::The attacker can manipulate the value of an integer variable utilized by the target host.::The target host does not do proper range checking on the variable before utilizing it.::When the integer variable is incremented or decremented to an out of range value, it gets a very different value (e.g. very small or negative number)::"
464,Evercookie,0.032,Medium,::The victim's browser is not configured to reject all cookiesThe victim visits a website that serves the attackers' evercookie::
305,TCP ACK Scan,0.0,Low,"::The adversary requires logical access to the target network. ACK scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privileges.::"
306,TCP Window Scan,0.0,Low,"::TCP Window scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privileges.::"
177,Create files with the same name as files protected with a higher classification,0.0,Very High,"::The target application must include external files. Most non-trivial applications meet this criterion.::The target application does not verify that a located file is the one it was looking for through means other than the name. Many applications fail to perform checks of this type.::The directories the target application searches to find the included file include directories writable by the attacker which are searched before the protected directory containing the actual files. It is much less common for applications to meet this criterion, but if an attacker can manipulate the application's search path (possibly by controlling environmental variables) then they can force this criterion to be met.::"
46,Overflow Variables and Tags,0.032,High,::The target program consumes user-controllable data in the form of tags or variables.::The target program does not perform sufficient boundary checking.::
237,Escaping a Sandbox by Calling Signed Code in Another Language,0.0,Very High,"::A framework-based language that supports code signing and sandbox (such as Java, .Net, JavaScript, and Flash) Deployed code that has been signed by its authoring vendor, or a partner::"
184,Software Integrity Attack,0.0,Low,
460,HTTP Parameter Pollution (HPP),0.032,Medium,::HTTP protocol is used with some GET/POST parameters passed::
250,XML Injection,0.0,,::XML queries used to process user input and retrieve information stored in XML documents::User-controllable input not properly sanitized::
252,PHP Local File Inclusion,0.0,Medium,::The targeted PHP application must have a bug that allows an attacker to control which code file is loaded at some juncture.::
251,Local Code Inclusion,0.0,Medium,::The targeted application must have a bug that allows an adversary to control which code file is loaded at some juncture.::Some variants of this attack may require that old versions of some code files be present and in predictable locations.::
222,iFrame Overlay,0.042,High,::The victim is communicating with the target application via a web based UI and not a thick client. The victim's browser security policies allow iFrames. The victim uses a modern browser that supports UI elements like clickable buttons (i.e. not using an old text only browser). The victim has an active session with the target system. The target system's interaction window is open in the victim's browser and supports the ability for initiating sensitive actions on behalf of the user in the target system.::
312,Active OS Fingerprinting,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
471,Search Order Hijacking,0.033,Medium,::Attacker has a mechanism to place its malicious libraries in the needed location on the file system.::
85,AJAX Fingerprinting,0.0,Low,::The user must allow JavaScript to execute in their browser::
202,Create Malicious Client,0.014,Medium,"::The targeted service must make assumptions about the behavior of the client application that interacts with it, which can be abused by an adversary.::"
15,Command Delimiters,0.0,High,::Software's input validation or filtering must not detect and block presence of additional malicious command.::
50,Password Recovery Exploitation,0.030,High,::The system allows users to recover their passwords and gain access back into the system.::Password recovery mechanism has been designed or implemented insecurely.::Password recovery mechanism relies only on something the user knows and not something the user has.::No third party intervention is required to use the password recovery mechanism.::
501,Activity Hijack,0.033,Medium,::The adversary must have previously installed the malicious application that will run in place of the trusted activity.::
470,Expanding Control over the Operating System from the Database,0.033,Very High,::A vulnerable DBMS is usedA SQL injection exists that gives an attacker access to the database or an attacker has access to the DBMS via other means::
45,Buffer Overflow via Symbolic Links,0.032,High,::The attacker can create symbolic link on the target host.::The target host does not perform correct boundary checking while consuming data from a resources.::
452,Infected Hardware,0.032,High,::Access to the hardware currently deployed at a victim location.::
51,Poison Web Service Registry,0.034,Very High,::The attacker must be able to write to resources or redirect access to the service registry.::
469,HTTP DoS,0.031,Low,::HTTP protocol is usedWeb server used is vulnerable to denial of service via HTTP flooding::
146,XML Schema Poisoning,0.0,High,::Some level of access to modify the target schema.::The schema used by the target application must be improperly secured against unauthorized modification and manipulation.::
47,Buffer Overflow via Parameter Expansion,0.031,High,"::The program expands one of the parameters passed to a function with input controlled by the user, but a later function making use of the expanded parameter erroneously considers the original, not the expanded size of the parameter.::The expanded parameter is used in the context where buffer overflow may become possible due to the incorrect understanding of the parameter size (i.e. thinking that it is smaller than it really is).::"
466,Leveraging Active Man in the Middle Attacks to Bypass Same Origin Policy,0.031,Medium,"::The victim and the attacker are both in an environment where an active man in the middle attack is possible (e.g., public WIFI hot spot)The victim visits at least one website that does not use TLS / SSL::"
168,Windows ::DATA Alternate Data Stream,0.0,Medium,::The target must be running the Microsoft NTFS file system.::
510,SaaS User Request Forgery,0.031,Medium,::An adversary must be able install a purpose built malicious application onto the trusted user's system and convince the user to execute it while authenticated to the SaaS application.::
88,OS Command Injection,0.0,High,::User controllable input used as part of commands to the underlying operating system.::
207,Removing Important Client Functionality,0.014,High,"::The targeted server must assume the client performs important actions to protect the server or the server functionality. For example, the server may assume the client filters outbound traffic or that the client performs all price calculations correctly. Moreover, the server must fail to detect when these assumptions are violated by a client.::"
215,Fuzzing and observing application log data/errors for application mapping,0.0,Low,::The target application must fail to sanitize incoming messages adequately before processing.::
490,Amplification,0.027,,::This type of an attack requires the existence of a 3rd party service that generates a response that is significantly larger than the request that triggers it.::
139,Relative Path Traversal,0.023,High,"::The target application must accept a string as user input, fail to sanitize combinations of characters in the input that have a special meaning in the context of path navigation, and insert the user-supplied string into path navigation commands.::"
208,Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,0.0,Medium,::The targeted server must rely on the client to correctly perform monetary calculations and must fail to detect errors in these calculations.::
268,Audit Log Manipulation,0.0,,::The target host is logging the action and data of the user.::The target host insufficiently protects access to the logs or logging mechanisms.::
27,Leveraging Race Conditions via Symbolic Links,0.0,High,::The attacker is able to create Symlink links on the target host.::Tainted data from the attacker is used and copied to temporary files.::The target host does insecure temporary file creation.::
209,XSS Using MIME Type Mismatch,0.0,Medium,::The victim must follow a crafted link that references a scripting file that is mis-typed as a non-executable file.::The victim's browser must detect the true type of a mis-labeled scripting file and invoke the appropriate script interpreter without first performing filtering on the content.::
183,IMAP/SMTP Command Injection,0.0,Medium,::The target environment must consist of a web-mail server that the attacker can query and a back-end mail server. The back-end mail server need not be directly accessible to the attacker.::The web-mail server must fail to adequately sanitize fields received from users and passed on to the back-end mail server.::The back-end mail server must not be adequately secured against receiving malicious commands from the web-mail server.::
17,Using Malicious Files,0.0,Very High,::System's configuration must allow an attacker to directly access executable files or upload files to execute. This means that any access control system that is supposed to mediate communications between the subject and the object is set incorrectly or assumes a benign environment.::
164,Mobile Phishing,0.026,High,::Attacker needs mobile phone numbers to initiate the connection. The attacker must guess an area of interest for the mobile user to entice them to follow the link provided in the text message. The attacker must have a replicated web site as in a normal Phishing attack.::
270,Modification of Registry Run Keys,0.0,Medium,::The adversary must have gained access to the target system via physical or logical means in order to carry out this attack.::
506,Tapjacking,0.026,Low,::This pattern of attack requires the ability to execute a malicious application on the user's device. This malicious application is used to present the interface to the user and make the attack possible.::
221,Data Serialization External Entities Blowup,0.032,,::A server that has an implementation that accepts entities containing URI values.::
509,Kerberoasting,0.031,High,"::The adversary requires access as an authenticated user on the system. This attack pattern relates to elevating privileges.::The adversary requires use of a third-party credential harvesting tool (e.g., Mimikatz).::The adversary requires a brute force tool.::"
313,Passive OS Fingerprinting,0.0,Low,"::The ability to monitor network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
